1505	18
1507	6
1515	588
1520	16
1524	34
1525	2
1527	2
1564	20
1572	14
1575	32
1581	139
1582	33
1584	8
1587	2
1588	4
1589	116
1590	24
1592	22
1593	2
1594	2
1595	2
1598	18
1600	1297
1602	4
1603	4
1605	2
1607	18
1612	70
1619	12
1620	213
1621	14
1623	28
1624	16
1625	2
1626	2
1628	2
1629	238
1630	28
1631	504
1632	6
1634	6
1635	32
1636	12
1637	31
1638	237
1640	18
1641	4
1642	32
1643	27
1644	461
1645	16
1646	1
1647	30
1648	82
1649	191
1650	73
1651	110
1652	26
1653	120
1654	6
1655	90
1656	468
1657	33
1658	550
1659	199
1660	23
1661	22
1662	196
1663	10
1664	38
1665	70
1666	27
1667	170
1668	264
1669	62
1670	166
1671	34
1672	127
1673	270
1674	40
1675	912
1676	735
1677	122
1678	419
1679	258
1680	189
1681	833
1682	1137
1683	2168
1684	833
1685	1014
1686	456
1687	524
1688	1171
1689	229
1690	286
1691	82
1692	1687
1693	206
1694	940
1695	294
1696	214
1697	191
1698	902
1699	724
1700	1174
1701	1516
1702	2513
1703	1640
1704	1690
1705	1274
1706	2505
1707	1351
1708	2638
1709	837
1710	1735
1711	2671
1712	1267
1713	1635
1714	2133
1715	2216
1716	1371
1717	2692
1718	2044
1719	1754
1720	2337
1721	5124
1722	3138
1723	7600
1724	2008
1725	4674
1726	3912
1727	4531
1728	4472
1729	4483
1730	4832
1731	3512
1732	3114
1733	1405
1734	3898
1735	2059
1736	3540
1737	3544
1738	5216
1739	2978
1740	2575
1741	1776
1742	3806
1743	4350
1744	3805
1745	2889
1746	1227
1747	4328
1748	4055
1749	5226
1750	4264
1751	5154
1752	2267
1753	3232
1754	3845
1755	3420
1756	2368
1757	2250
1758	3007
1759	4507
1760	4137
1761	3465
1762	4370
1763	5358
1764	4704
1765	20129
1766	6581
1767	5493
1768	4724
1769	4864
1770	9522
1771	16297
1772	5283
1773	3844
1774	5712
1775	8609
1776	5342
1777	6789
1778	4233
1779	3980
1780	6179
1781	5099
1782	5102
1783	5235
1784	9033
1785	6886
1786	10300
1787	9200
1788	9188
1789	11286
1790	11232
1791	8861
1792	9654
1793	10198
1794	15033
1795	18245
1796	13486
1797	25661
1798	11876
1799	12425
1800	16348
1801	24728
1802	35120
1803	26392
1804	28947
1805	37793
1806	33142
1807	36173
1808	32169
1809	42170
1810	50858
1811	50624
1812	65401
1813	58582
1814	52770
1815	43502
1816	52921
1817	68072
1818	150406
1819	64960
1820	84920
1821	49634
1822	71872
1823	90936
1824	136788
1825	111936
1826	80916
1827	76629
1828	94261
1829	94377
1830	136010
1831	115704
1832	158880
1833	82350
1834	92882
1835	117513
1836	103537
1837	90636
1838	149953
1839	150170
1840	136048
1841	105745
1842	120640
1843	142691
1844	148527
1845	152879
1846	146974
1847	178157
1848	187823
1849	170444
1850	216431
1851	196549
1852	228147
1853	215613
1854	245348
1855	278171
1856	255827
1857	237603
1858	191423
1859	238880
1860	315453
1861	189845
1862	161972
1863	166709
1864	169839
1865	218885
1866	239508
1867	269309
1868	265200
1869	276374
1870	242715
1871	276546
1872	243637
1873	291576
1874	274938
1875	265751
1876	288496
1877	279839
1878	299729
1879	285180
1880	389279
1881	305713
1882	334348
1883	412362
1884	417357
1885	402426
1886	314551
1887	336203
1888	355022
1889	384378
1890	367589
1891	426291
1892	408977
1893	477866
1894	448621
1895	496390
1896	587241
1897	614431
1898	607380
1899	587313
1900	651710
1901	627459
1902	807135
1903	800340
1904	791597
1905	813442
1906	1005855
1907	1077226
1908	1119351
1909	912959
1910	955210
1911	1030933
1912	1237943
1913	1201233
1914	1054015
1915	1154524
1916	1157503
1917	1033640
1918	987609
1919	881466
1920	1226720
1921	1102046
1922	1259116
1923	1093066
1924	1008811
1925	1051011
1926	970275
1927	1126303
1928	1257838
1929	1015602
1930	1232568
1931	1218472
1932	1078092
1933	981911
1934	947920
1935	1101648
1936	1207354
1937	1362517
1938	1429660
1939	1324833
1940	1445320
1941	1262529
1942	1483772
1943	1215184
1944	970754
1945	1019495
1946	1246592
1947	1630871
1948	2108798
1949	2122907
1950	2181626
1951	2257065
1952	2001196
1953	2282208
1954	2299429
1955	2419878
1956	2390380
1957	2704010
1958	3013105
1959	3267374
1960	3542136
1961	4285735
1962	4560501
1963	4928331
1964	4919203
1965	5282852
1966	5855044
1967	5826463
1968	6375450
1969	6256142
1970	6742404
1971	7033032
1972	7522271
1973	7401674
1974	7609900
1975	7848030
1976	8304288
1977	8233979
1978	8537601
1979	9182675
1980	9484317
1981	9395487
1982	10116942
1983	10082706
1984	10863837
1985	11182955
1986	11731249
1987	11548617
1988	12317379
1989	12762762
1990	13642276
1991	13137827
1992	14547058
1993	13818494
1994	14740944
1995	15022846
1996	14516311
1997	15067915
1998	15030245
1999	15704066
2000	16685456
2001	17141958
2002	18633393
2003	19973557
2004	20461587
2005	20864452
2006	22569013
2007	22528116
