Summer Semester 2015-16 (05/09 - 08/06/2016)	
AEEM9074	(1-15G)	READING COURSE		 	001	701707			IS	TBA		IN	 	Abdallah, S.		 	002	701708			IS	TBA		IN	 	Cohen, K.		 	003	701709			IS	TBA		IN	 	Disimile, P.		 	004	701710			IS	TBA		IN	 	Gutmark, E.		 	005	701711			IS	TBA		IN	 	Hamed, A.		 	006	701712			IS	TBA		IN	 	Jeng, S.		 	007	701713			IS	TBA		IN	 	Lee, J.		 	008	701714			IS	TBA		IN	 	Liu, G.		 	009	701715			IS	TBA		IN	 	Munday, D.		 	010	701716			IS	TBA		IN	 	Nagy, P.		 	011	701717			IS	TBA		IN	 	Orkwis, P.		 	012	701718			IS	TBA		IN	 	Rozier, K.		 	013	701719			IS	TBA		IN	 	Simonetti, F.		 	014	701720			IS	TBA		IN	 	Turner, M.		 	015	701721			IS	TBA		IN	 	Walker, B.		
AIS3070 	(3)	APPL WKPL WRITING		 	002	702338			OT	TBA		WB	 	Staff		
AIS4052 	(3)	APPL MEDIA METHODS		 	001	700681		UCBA	LE	M      	6:00p - 9:00p	CI	 	Hubble, D.		
ALH1005	(1)	HEALTH CARE EDGE		 	001	701989		CLER	LE	T      	1:00p - 1:55p	CI	 	Mullarkey, M.		
ALH1015C 	(2)	HUMAN DISEASE		 	001	703327			OT	TBA		WB	 	Hoffman, A.		
ALH2071 	(3)	PATHOPHYS HLTH PROF		 	001	700413			OT	TBA		WB	 	Hemme, E.		
ALH4022 	(3)	LEG & ECON ASP HC		 	001	700443			OT	TBA		WB	 	McDaniel, M.		
AMIT4006 	(4)	DIAG MRI IMG III		 	001	702674		EAST	LE	M      	1:25p - 5:10p	CI	 	Southers, G.		
AMIT4009 	(3)	MRI PHYSICS III		 	001	702673		EAST	LE	M      	10:10a - 12:50p	CI	 	Southers, G.		
AMIT4013 	(4)	MRI DIR PRAC III		 	001	702675	NS		PR	TBA		IN	 	Southers, G.		
AMIT4022 	(4)	NMT AP&P III		 	001	702678		EAST	LE	TR     	10:30a - 12:10p	CI	 	Vespie, A.		
AMIT4031 	(3)	NMT PHYS II		 	001	702679		EAST	LE	TR     	1:25p - 2:40p	CI	 	Staff		
AMIT4035 	(4)	NMT DIR PRAC III		 	001	702680	NS		PR	TBA		IN	 	Vespie, A.		
AMIT4092 	(1)	MED IMG REV		 	001	702681	R		LE	TBA		WB	 	Vespie, A.		
